IBOV;;CDB;puCdb;;PETR36;puPet;;CPLD26;puCp;;TAEE26;puTae;;ITSA24;puIt;;Selic2026;puSelic26;;Selic2028;puSelic28;;Pre2024Primeiro;pu24p;;Pre2024Segundo;pu24s;;Ipca2026;puIpca26;;;;
-0,025113138;;0,000401675;6476,37302;;0,000505457;821,9642936;;-0,001686014;892,4432516;;-0,004223821;998,9477439;;0,000346989;848,6947566;;0,000449918;11361,94989;;2,78469E-05;11314,73913;;-0,002686944;805,133325;;-0,003226687;764,018477;;-0,00112508;3000,96;;;;
-0,003444179;;0,000401675;6478,97442;;0,000361164;822,3797616;;-0,003429108;890,93858;;-0,001924146;994,7283678;;0,000785822;848,9892446;;0,000426803;11367,06183;;0,000271295;11315,05421;;-0,002607263;802,779423;;-0,003208021;760,95898;;0,003990391;3001,36;;;;
0,024193832;;0,000401675;6481,57686;;0,000587868;822,6767754;;0,006120266;887,8834552;;0,007507293;992,8143653;;0,000294686;849,6563991;;0,000413738;11371,91332;;0,00034305;11318,12393;;-0,003006877;803,070134;;-0,004263671;760,136822;;-0,002763309;3013,12;;;;
-0,002075674;;0,000401676;6484,18035;;0,000461762;823,1604009;;0,00033602;893,317538;;0,000384359;1000,267713;;0,000419326;849,9067806;;0,000429816;11376,61832;;0,000426953;11322,0066;;0,0048629;806,372844;;0,005761539;764,26321;;0,003869396;3009,73;;;;
-0,017139388;;0,000401675;6486,78489;;0,000409994;823,5405047;;0,007300708;893,6177105;;-0,000991988;1000,652176;;8,09E-05;850,2631684;;0,000433835;11381,50818;;0,000396625;11326,84057;;-0,00066819;804,206165;;-0,000628383;761,797172;;0,000938827;3021,74;;;;
-0,016033991;;0,000401676;6489,39047;;0,000593292;823,8781512;;-0,006492533;900,141752;;-0,004333328;999,6595405;;0,00024345;850,3319583;;0,000429814;11386,44587;;0,000402691;11331,33308;;0,004507746;802,109388;;0,004213035;759,353311;;-0,002813841;3013,39;;;;
-0,008796489;;0,000401676;6491,9971;;0,000997572;824,3669514;;0,005412332;894,2975521;;0,002718799;995,3276876;;0,000631245;850,5389716;;0,000421776;11391,33993;;0,000473784;11335,89611;;0,00324359;799,697544;;0,004820643;756,115678;;0,004047202;3025,05;;;;
0,019778246;;0,000401675;6494,60478;;0,001480943;825,1893165;;0,004129772;899,1377872;;0,001044691;998,0337834;;0,00043592;851,0758698;;0,000417756;11396,14452;;0,000438401;11341,26687;;-0,001071265;803,586393;;-0,001549673;760,472068;;0,002605893;3027,89;;;;
0,017673516;;0,000437392;6497,2135;;0,000523916;826,4113744;;0,005610726;902,8510215;;0,005923211;999,0764207;;0,00044915;851,4468712;;0,000437851;11400,90533;;0,000479848;11346,2389;;0,00126955;803,049445;;0,002451773;759,9942;;0,00260241;3019,37;;;;
0,019725171;;0,000437392;6500,05533;;0,000772643;826,8443449;;-0,000719116;907,9166708;;0,007335411;1004,994161;;0,000528192;851,8292981;;0,000445428;11405,89722;;0,000515226;11351,68337;;0,000123027;806,669388;;0,000393867;763,196082;;0,005942771;3031,59;;;;
0,007371553;;0,000437393;6502,8984;;0,000262207;827,4832005;;-0,000931501;907,263773;;0,001815318;1012,366207;;0,000436399;852,2792277;;0,000442414;11410,97773;;0,000693118;11357,53205;;0,005814613;809,285893;;0,007596255;766,875178;;0,002593369;3039,49;;;;
0,009583083;;0,000437392;6505,74272;;0,000551169;827,7001722;;0,003768706;906,4186563;;0,00640994;1014,203974;;0,000569211;852,6511619;;0,000457485;11416,0261;;0,000503074;11365,40417;;0,003836867;808,418933;;0,005619634;765,686772;;0,013697917;3047,4;;;;
0,00162352;;0,000437393;6508,58828;;0,000440956;828,156375;;0,003888448;909,8346822;;0,006468589;1020,704961;;0,000521523;853,1364999;;0,000511738;11421,24875;;0,0004384;11371,12181;;0,001269415;809,445261;;0,001402091;767,564062;;0,007465753;3065,51;;;;
0,013637203;;0,000437392;6511,43509;;0,000811143;828,5215554;;0,013229463;913,3725269;;0,018231434;1027,307481;;0,000614193;853,5814304;;0,000535844;11427,09344;;0,00034948;11376,10691;;0,000694025;809,544845;;0,001588069;767,86638;;-0,000649926;3073,46;;;;
0,000169155;;0,000437393;6514,28314;;0,001049326;829,1936047;;0,006428512;925,455955;;0,007038187;1046,03677;;0,000537364;854,105694;;0,000488621;11433,21658;;0,000461643;11380,08264;;-0,002329036;814,252035;;-0,00358458;773,699289;;-0,004794726;3115,56;;;;
-0,00287759;;0,000437392;6517,13244;;0,000935557;830,0636989;;-0,000288746;931,4052596;;-0,002082154;1053,398972;;0,000486873;854,5646596;;0,000527793;11438,80309;;0,000390906;11385,33617;;0,002338921;817,376212;;0,002600799;778,047196;;-0,001470334;3138,82;;;;
0,010727339;;0,000437392;6519,98298;;0,000890395;830,8402707;;-0,000681601;931,1363198;;-0,001022973;1051,205633;;0,000510108;854,9807238;;0,000449443;11444,84041;;0,000444464;11389,78677;;0,003786542;818,413802;;0,005526445;779,138089;;-0,00023098;3136,78;;;;
0,002060021;;0,000437393;6522,83477;;0,000509167;831,5800466;;0,000535499;930,5016565;;-0,003336603;1050,130278;;0,000192751;855,4168561;;0,00043739;11449,98421;;0,00042021;11394,84912;;0,000622554;818,981802;;0,00073289;780,375414;;0,006853996;3121,74;;;;
-0,002158396;;0,000437393;6525,68781;;0,000887736;832,0034594;;-7,14E-05;930,9999394;;0,001752488;1046,62641;;0,000553142;855,5817387;;0,000355031;11454,99232;;0,00027974;11399,63735;;-0,00235078;817,074364;;-0,0035428;777,578096;;0,00018803;3117,15;;;;
0,013066806;;0,000437392;6528,5421;;0,00102593;832,7420591;;0,008371182;930,9334692;;0,010216889;1048,46061;;0,000442676;856,0549969;;0,000371096;11459,0592;;0,000174598;11402,82628;;-0,001526179;818,985436;;-0,002198986;779,60042;;-0,004352564;3116,43;;;;
-0,002383172;;0,000437392;6531,39763;;0,000609145;833,5963938;;0,004735105;938,7264828;;0,005069872;1059,172615;;0,000763527;856,4339523;;0,000399218;11463,31161;;0,000202837;11404,81719;;-0,000385862;822,086559;;-0,001584412;783,908839;;0,002265803;3137,79;;;;
-0,019740132;;0,000437392;6534,25441;;0,000265618;834,104175;;-0,00655985;943,171451;;-0,006503955;1064,542485;;0,001044485;857,0878628;;0,000414285;11467,88797;;0,000316041;11407,13051;;-0,003701294;822,598352;;-0,005054208;784,483358;;0,001456032;3138,38;;;;
-0,00554501;;0,000437392;6537,11244;;-0,000068537;834,3257282;;0,001729336;936,9843873;;0,001131276;1057,618749;;0,000807362;857,9830781;;0,000281679;11472,63894;;0,000297822;11410,73563;;-0,002691918;820,664604;;-0,003487551;781,70409;;-0,00216493;3124,72;;;;
0,005374873;;0,000437392;6539,97172;;0,000489788;834,2685461;;0,003850726;938,604748;;0,002658108;1058,815207;;-4,38E-05;858,6757814;;0,000197256;11475,87054;;0,000298814;11414,134;;-4,3394E-05;819,412123;;-3,81901E-05;779,985134;;-0,002156846;3131,8;;;;
-0,004552358;;0,000437393;6542,83225;;0,000308623;834,6771606;;-0,004844113;942,2190578;;-0,005264761;1061,629652;;0,000220571;858,6381683;;0,000329856;11478,13422;;0,000152106;11417,5447;;0,0002511;819,095943;;-0,000292227;778,749316;;-0,002561787;3136,36;;;;
-0,011468945;;0,000437393;6545,69404;;0,000715373;834,9347609;;-0,007787897;937,6548417;;-0,008864395;1056,040425;;0,000327797;858,8275592;;0,000282606;11481,92036;;0,000263337;11419,28138;;-0,000954005;816,064228;;-0,001745804;774,813355;;0,002882992;3129,57;;;;
-0,006956878;;0,000437393;6548,55708;;0,000551148;835,5320505;;5,53E-05;930,3524826;;0,000978159;1046,679266;;0,000304319;859,1090801;;0,000252424;11485,16522;;0,000287598;11422,2885;;0,002365937;813,86745;;0,002584282;772,111154;;-0,002570587;3122,82;;;;
0,005436433;;0,000437392;6551,42137;;0,000590625;835,9925524;;0,00545476;930,4038924;;0,001403149;1047,703084;;0,000839149;859,3705231;;0,000175977;11488,06435;;-4,96842E-06;11425,57352;;0,000450492;813,832133;;0,000458003;772,081667;;0,006633994;3114,82;;;;
-0,005133621;;0,000437393;6554,28691;;0,000486034;836,4863105;;-0,001300882;935,4790222;;-0,001133354;1049,173168;;8,83E-05;860,0916633;;0,000373025;11490,08598;;-0,000370752;11425,51676;;0,000654581;814,036486;;0,00102887;771,856044;;-0,000519697;3123,8;;;;
-0,004257645;;0,000437393;6557,15371;;0,000637016;836,8928716;;0,004826597;934,2620739;;0,004835886;1047,984083;;0,000645751;860,1676496;;0,000276468;11494,37207;;0,000411038;11421,28072;;7,57151E-06;813,259891;;-0,001074028;770,508535;;-0,001901232;3115,77;;;;
-0,005448238;;0,000437392;6560,02176;;0,000484022;837,4259856;;0,004568969;938,7713807;;0,001432175;1053,052015;;0,000589816;860,7231038;;0,000161767;11497,5499;;0,000463742;11425,97531;;0,002443672;815,184013;;0,00326051;772,499746;;0,002508909;3136,44;;;;
-0,006200076;;0,000437393;6562,89106;;0,000375275;837,8313185;;0,002507957;943,0605983;;0,000893533;1054,560169;;0,000437237;861,2307725;;0,000108362;11499,40982;;0,000906654;11431,27402;;-0,001554532;815,551247;;-0,00242142;772,853553;;0,000867153;3134,81;;;;
-0,028567043;;0,000437392;6565,76162;;0,000433945;838,145736;;-0,003674173;945,425754;;-0,00352809;1055,502454;;0,000455504;861,6073343;;0,000350828;11500,65592;;0,000625818;11441,63822;;0,003026199;816,085091;;0,003732;773,648719;;-0,000767658;3128,85;;;;
-0,00353467;;0,000437392;6568,63343;;0,000804555;838,5094452;;0,001463684;941,9520961;;0,002336538;1051,778546;;0,000436877;861,9998001;;0,000394105;11504,69067;;0,001069416;11448,7986;;-0,000231998;816,09127;;7,50039E-05;772,817799;;-0,000745933;3136,7;;;;
-0,022316639;;0,000437393;6571,5065;;0,000835401;839,1840719;;-0,003731047;943,3308163;;-0,000978064;1054,236066;;0,000384725;862,376388;;0,000320617;11509,22473;;0,000625663;11461,04213;;0,000534785;818,085529;;0,00055478;775,337579;;0,003595275;3139,42;;;;
0,010487263;;0,000437392;6574,38083;;0,000863619;839,885127;;0,00327502;939,8112043;;0,00286342;1053,204956;;0,000455551;862,7081656;;0,00037497;11512,91479;;0,00056693;11468,21288;;-0,001016737;816,813789;;-0,001649637;773,460161;;-0,003137377;3137,01;;;;
0,005240377;;0,000437392;6577,25641;;0,000620446;840,610468;;0,003048999;942,8891047;;0,0025229;1056,220724;;0,000479431;863,1011732;;0,000455513;11517,23178;;0,000503164;11474,71456;;0,000396607;819,28563;;0,000276998;776,346714;;-0,001100103;3134,67;;;;
-0,018612102;;0,000437392;6580,13325;;0,000525522;841,1320211;;-0,000701368;945,7639727;;-0,000724744;1058,885463;;0,0004999;863,5149709;;0,000516929;11522,47803;;0,000566905;11480,48822;;0,00196787;819,095557;;0,00236651;776,404943;;-0,000290492;3145,94;;;;
