IBOV;;;CDB;PETR36;CPLD26;TAEE26;ITSA24;;Média diária;Média Carteira Privada;;;2026;2028;IBOV;Média carteira pública;;;Média carteira total;;;Selic2026;Selic2028;Pre2024Primeiro;Pre2024Segundo;Ipca2026
-0,014300227;;;0,000401675;0,000659816;1,06E-05;-0,003961505;0,000980044;;0,000530746;0,000626258;1.000.626.258;;0,000524496;0,001480595;-0,014300227;0,000811326;1.000.811.326;;0,000718792;1.000.718.792;;0,0008352263628613890;0,0014805949439359500;-0,0001925368543947270;-0,0006125945381705890;0,0013754066707223000
-0,005754245;;;0,000401675;0,000680711;-0,00149139;-0,003454236;0,000684789;;0,000541193;0,000644436;1.000.644.436;;0,000608026;0,00040168;-0,005754245;0,000546122;1.000.546.122;;0,000595279;1.000.595.279;;0,0005987526300002990;0,0004016800746397340;0,0026304795909640100;0,0030521452061848900;-0,0028625954198472000
-0,010215336;;;0,000401676;0,000800142;0,003390736;0,000975593;0,00060914;;0,000600909;0,000748341;1.000.748.341;;0,000848503;0,000330032;-0,010215336;0,000692961;1.000.692.961;;0,000720651;1.000.720.651;;0,0004107273909728380;0,0003300315669245280;-0,0012405973557785300;-0,0019578552587300200;-0,0014072614691809700
0,010423875;;;0,000401676;0,000414266;-0,004902959;-0,003062939;0,000556009;;0,000407971;0,00041263;100.041.263;;0,000835226;0,000335073;0,010423875;0,00068518;100.068.518;;0,000548905;1.000.548.905;;0,0004308326440850660;0,0003350725160121420;0,0000046396366508900;-0,0004953985883802440;0,0048478015783539700
-0,007890387;;;0,000401676;0,000767746;0,00040631;0,001109576;0,00056576;;0,000584711;0,000720157;1.000.720.157;;0,000598753;0,000258364;-0,007890387;0,000496636;1.000.496.636;;0,000608396;1.000.608.396;;0,0004418894620583440;0,0002583635298484700;-0,0024269619855573500;-0,0027671418855966100;-0,0015641396242105800
-0,003663537;;;0,000401675;0,000416624;-0,000975027;-0,001043;0,000872118;;0,000409149;0,00041468;100.041.468;;0,000410727;0,000240173;-0,003663537;0,000359561;1.000.359.561;;0,000387121;1.000.387.121;;0,0006298593386405260;0,0002401734472041450;-0,0032823005136189300;-0,0039304035444481700;-0,0024027656592898100
0,013911013;;;0,000401675;0,000532422;0,000850095;0,000387325;0,000223;;0,000467049;0,000515425;1.000.515.425;;0,000430833;0,000103854;0,013911013;0,000332739;1.000.332.739;;0,000424082;1.000.424.082;;0,0004177594637128860;0,0001038543185697370;-0,0029383988554389000;-0,0044435171978008000;-0,0008878846810074960
0,017945157;;;0,000401676;0,000320564;-0,001231069;-0,001562703;0,000311299;;0,00036112;0,000331109;1.000.331.109;;0,000441889;0,000169408;0,017945157;0,000360145;1.000.360.145;;0,000345627;1.000.345.627;;0,0004499175800844240;0,0001694077296865750;-0,0029236176505301900;-0,0040044803785549900;-0,0048976533045067000
-6,84E-05;;;0,000401675;0,000384451;-0,00074495;-0,000244856;0,000392825;;0,000393063;0,00038669;100.038.669;;0,000629859;0,000324911;-6,84E-05;0,000538375;1.000.538.375;;0,000462533;1.000.462.533;;0,0004268026400931590;0,0003249113811620980;0,0003621306073263680;-0,0010804235466147500;0,0001332906803156630
-0,006050247;;;0,000401676;0,000634385;-0,004073079;-0,004003896;0,000449328;;0,000518031;0,000604133;1.000.604.133;;0,000417759;0,000234998;-0,006050247;0,000362931;1.000.362.931;;0,000483532;1.000.483.532;;0,0004137384682726470;0,0002349984096753440;0,0041126046906383100;0,0054284806110864900;0,0039182237385717700
-0,025113138;;;0,000401675;0,000505457;-0,001686014;-0,004223821;0,000346989;;0,000453566;0,000491966;1.000.491.966;;0,000449918;2,78E-05;-0,025113138;0,000323296;1.000.323.296;;0,000407631;1.000.407.631;;0,0004298162126564000;0,0000278468638479475;-0,0026869444031028500;-0,0032266867850408700;-0,0011250796516567100
-0,003444179;;;0,000401675;0,000361164;-0,003429108;-0,001924146;0,000785822;;0,000381419;0,00036643;100.036.643;;0,000426803;0,000271295;-0,003444179;0,00038015;100.038.015;;0,00037329;100.037.329;;0,0004338347715620320;0,0002712948558000120;-0,0026072630268882500;-0,0032080205726992200;0,0039903911646558900
0,024193832;;;0,000401675;0,000587868;0,006120266;0,007507293;0,000294686;;0,000494772;0,000563663;1.000.563.663;;0,000413738;0,00034305;0,024193832;0,000392532;1.000.392.532;;0,000478097;1.000.478.097;;0,0004298144526787610;0,0003430495217872080;-0,0030068766630617900;-0,0042636714071033500;-0,0027633085573212500
-0,002075674;;;0,000401676;0,000461762;0,00033602;0,000384359;0,000419326;;0,000431719;0,00045395;100.045.395;;0,000429816;0,000426953;-0,002075674;0,000428957;1.000.428.957;;0,000441454;1.000.441.454;;0,0004217755794773650;0,0004269532928153320;0,0048628997665147900;0,0057615390432362300;0,0038693962613536000
